sample_id,task_id,episode_id,primary_behavior,secondary_behavior,ax_projection,outcome,modifiers,confidence,evidence,needs_human_review,notes
S001,01,E03,,,,,,,,,
S002,01,E05,,,,,,,,,
S003,02,E03,,,,,,,,,
S004,02,E05,,,,,,,,,
S005,03,E09,,,,,,,,,
S006,03,E17,,,,,,,,,
S007,04,E03,,,,,,,,,
S008,04,E05,,,,,,,,,
S009,05,E04,,,,,,,,,
S010,05,E07,,,,,,,,,
S011,06,E02,,,,,,,,,
S012,06,E03,,,,,,,,,
S013,07,E21,,,,,,,,,
S014,07,E41,,,,,,,,,
S015,08,E03,,,,,,,,,
S016,08,E06,,,,,,,,,
S017,09,E04,,,,,,,,,
S018,09,E08,,,,,,,,,
S019,10,E04,,,,,,,,,
S020,10,E07,,,,,,,,,
S021,11,E04,,,,,,,,,
S022,11,E07,,,,,,,,,
S023,12,E18,,,,,,,,,
S024,12,E35,,,,,,,,,
S025,13,E10,,,,,,,,,
S026,13,E19,,,,,,,,,
S027,14,E02,,,,,,,,,
S028,14,E03,,,,,,,,,
S029,15,E02,,,,,,,,,
S030,15,E03,,,,,,,,,
S031,16,E02,,,,,,,,,
S032,16,E03,,,,,,,,,
S033,17,E12,,,,,,,,,
S034,17,E23,,,,,,,,,
S035,18,E08,,,,,,,,,
S036,18,E16,,,,,,,,,
S037,19,E05,,,,,,,,,
S038,19,E09,,,,,,,,,
S039,20,E10,,,,,,,,,
S040,20,E19,,,,,,,,,
S041,21,E08,,,,,,,,,
S042,21,E15,,,,,,,,,
S043,22,E05,,,,,,,,,
S044,22,E09,,,,,,,,,
S045,23,E07,,,,,,,,,
S046,23,E13,,,,,,,,,
S047,24,E20,,,,,,,,,
S048,24,E39,,,,,,,,,
S049,25,E03,,,,,,,,,
S050,25,E05,,,,,,,,,
S051,26,E10,,,,,,,,,
S052,26,E19,,,,,,,,,
S053,27,E02,,,,,,,,,
S054,27,E04,,,,,,,,,
S055,28,E02,,,,,,,,,
S056,28,E03,,,,,,,,,
S057,30,E05,,,,,,,,,
S058,30,E10,,,,,,,,,
S059,31,E01,,,,,,,,,
S060,31,E02,,,,,,,,,
